Designator,Mid X,Mid Y,Rotation,Layer
C1,338.5,-221.5,0.0,top
D2,263.5,-179.0,0.0,top
D3,263.5675,-187.0,0.0,top
DRV8874_CARRIER_BOARD1,305.66,-149.83,270.0,top
DRV8874_CARRIER_BOARD2,304.96,-225.67,90.0,top
DRV8874_CARRIER_BOARD3,325.46,-225.17,90.0,top
DRV8874_CARRIER_BOARD4,348.16,-149.83,270.0,top
DRV8874_CARRIER_BOARD5,327.12,-149.67,270.0,top
IC1,358.38,-199.85,270.0,top
J1,366.5,-135.0,270.0,top
J10,377.46,-191.77,90.0,top
J2,335.46,-201.0,0.0,top
J3,310.96,-201.0,0.0,top
J4,323.54,-201.0,0.0,top
J5,335.46,-175.0,180.0,top
J6,321.46,-174.5,180.0,top
J7,308.46,-174.5,180.0,top
J8,372.365132,-237.134867,45.0,top
PS1,323.81,-131.0,0.0,top
Q1,342.9,-228.6,0.0,top
R1,268.23,-179.0,0.0,top
R2,268.55,-187.0,0.0,top
SW1,374.25,-152.0,90.0,top
SW2,268.335,-219.275,0.0,top
